class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33
left,0.6602282524108887,0.3722571134567261,-0.6674013137817383,0.9999455213546753,0.6461924314498901,0.30604755878448486,-0.6098455190658569,0.9998924732208252,0.654362142086029,0.3064362704753876,-0.6092243790626526,0.9999042749404907,0.6616199016571045,0.30713748931884766,-0.6091817617416382,0.9998983144760132,0.6043001413345337,0.3087145984172821,-0.6532947421073914,0.9998966455459595,0.5816406607627869,0.3112083673477173,-0.6522367000579834,0.9998923540115356,0.5572131872177124,0.31437957286834717,-0.652705729007721,0.9998795986175537,0.624376118183136,0.3650616407394409,-0.31549352407455444,0.9998847246170044,0.4691768288612366,0.37544286251068115,-0.4999907612800598,0.9998970031738281,0.6761339902877808,0.46289587020874023,-0.5596874952316284,0.9999086856842041,0.6203429102897644,0.4672884941101074,-0.6126981377601624,0.9999127388000488,0.8085403442382812,0.8484700918197632,-0.1752696931362152,0.9987597465515137,0.228083997964859,0.8640161752700806,-0.492378294467926,0.9991238713264465,0.9565154314041138,1.3695522546768188,-0.016017230227589607,0.04456755518913269,0.17052412033081055,1.4133870601654053,-0.40071195363998413,0.0665195882320404,0.9443649053573608,1.785244345664978,-0.16250473260879517,0.021815527230501175,0.1593174934387207,1.8118976354599,-0.6288707852363586,0.03038492612540722,0.9855852127075195,1.9122204780578613,-0.20547616481781006,0.04456605389714241,0.136721670627594,1.9447625875473022,-0.6929817199707031,0.06786905974149704,0.921221911907196,1.909733533859253,-0.24205803871154785,0.07477875053882599,0.20954909920692444,1.903118371963501,-0.7675988674163818,0.10487844794988632,0.8925338983535767,1.8566197156906128,-0.19372320175170898,0.0706510916352272,0.2303798645734787,1.8474602699279785,-0.6748069524765015,0.09691157191991806,0.7366737127304077,1.8225655555725098,-0.027821054682135582,0.00012605641677509993,0.3504360318183899,1.8419902324676514,0.035305049270391464,0.0001297313574468717,0.7146561145782471,2.6216917037963867,-0.02785828337073326,3.195013414369896e-05,0.3649553060531616,2.6339926719665527,0.1288248598575592,2.6579893528833054e-05,0.7096240520477295,3.348170280456543,0.7925408482551575,4.193241238681367e-06,0.3563782274723053,3.345244884490967,0.848845362663269,8.221351777137897e-07,0.707568883895874,3.464210271835327,0.8315113186836243,3.041486252186587e-06,0.3470349609851837,3.4623498916625977,0.8988744020462036,1.1445737300164183e-06,0.6909727454185486,3.570295810699463,0.1857459396123886,3.46212436852511e-05,0.41310691833496094,3.5554864406585693,0.1692558377981186,8.461186553176958e-06
left,0.6614939570426941,0.4103444516658783,-0.7715257406234741,0.9999364018440247,0.6523677110671997,0.3337958753108978,-0.7063606381416321,0.9998723268508911,0.6614826321601868,0.33494776487350464,-0.7060106992721558,0.9998851418495178,0.6699326038360596,0.33633676171302795,-0.7059474587440491,0.9998774528503418,0.6082547307014465,0.33362245559692383,-0.7592076063156128,0.9998815059661865,0.5853593945503235,0.3346269726753235,-0.7582545280456543,0.9998775124549866,0.5601403117179871,0.3369620442390442,-0.7587676644325256,0.9998639822006226,0.6323853731155396,0.3821861147880554,-0.36714914441108704,0.9998632669448853,0.4696493148803711,0.38846951723098755,-0.5859730243682861,0.9998856782913208,0.6759528517723083,0.4918166399002075,-0.644555926322937,0.9998975992202759,0.6190956830978394,0.5016176104545593,-0.7079695463180542,0.9999049305915833,0.8084373474121094,0.8524134755134583,-0.19537612795829773,0.9986700415611267,0.23080167174339294,0.8656190633773804,-0.5506230592727661,0.9990845322608948,0.9582636952400208,1.3610273599624634,-0.02015116438269615,0.047002654522657394,0.16289961338043213,1.4134466648101807,-0.4593735337257385,0.07223620265722275,0.9463379979133606,1.78440523147583,-0.1606798768043518,0.02308128960430622,0.15423867106437683,1.7904473543167114,-0.6914300918579102,0.03329429030418396,0.9870773553848267,1.912163496017456,-0.20666608214378357,0.04618673399090767,0.13645455241203308,1.9461733102798462,-0.7779837250709534,0.07210204750299454,0.9248587489128113,1.9103379249572754,-0.24733304977416992,0.07698142528533936,0.193667933344841,1.9265477657318115,-0.8798809051513672,0.11085708439350128,0.8957745432853699,1.8581010103225708,-0.19360435009002686,0.07333949208259583,0.21552622318267822,1.8699387311935425,-0.7489271759986877,0.10276370495557785,0.7365376353263855,1.8229540586471558,-0.02598254382610321,0.00013356120325624943,0.3498855233192444,1.8418573141098022,0.03325878456234932,0.0001342269970336929,0.7140728235244751,2.622196674346924,-0.01784837245941162,3.8578877138206735e-05,0.3647494316101074,2.6375913619995117,0.11149845272302628,2.9284792617545463e-05,0.709388017654419,3.351548433303833,0.7887768149375916,4.77421463074279e-06,0.36004695296287537,3.3484299182891846,0.775866687297821,9.230437854057527e-07,0.7064216732978821,3.4690115451812744,0.8249258995056152,3.4414772471791366e-06,0.35271376371383667,3.465557336807251,0.8195945620536804,1.337249386779149e-06,0.6929062604904175,3.5714614391326904,0.16763660311698914,3.7284593418007717e-05,0.41433772444725037,3.5564775466918945,0.0766150951385498,9.558731107972562e-06
left,0.6352852582931519,0.4265685975551605,-0.9546891450881958,0.9999232888221741,0.642440915107727,0.3449980616569519,-0.8722907304763794,0.9998405575752258,0.6560126543045044,0.3465568423271179,-0.872238278388977,0.9998611807823181,0.6682091951370239,0.34865230321884155,-0.8723580241203308,0.9998448491096497,0.5886881947517395,0.3451192080974579,-0.9140580296516418,0.9998533725738525,0.5627017617225647,0.34740760922431946,-0.9131516218185425,0.9998583197593689,0.5355712175369263,0.3510689437389374,-0.9137269854545593,0.9998396635055542,0.643081784248352,0.3956844210624695,-0.4271851181983948,0.999824583530426,0.45342570543289185,0.40234312415122986,-0.6020807027816772,0.9998691082000732,0.6587783098220825,0.5086638927459717,-0.7879340648651123,0.9998776912689209,0.5885835289955139,0.5187006592750549,-0.8369089961051941,0.9998911619186401,0.8084449768066406,0.85296231508255,-0.19452764093875885,0.998563289642334,0.23183420300483704,0.8699153065681458,-0.5473631620407104,0.99903404712677,0.9542790651321411,1.3531911373138428,-0.03750843182206154,0.04880119860172272,0.1547698676586151,1.4115372896194458,-0.45171108841896057,0.08435788750648499,0.9456716775894165,1.7785078287124634,-0.32286423444747925,0.023117898032069206,0.15007808804512024,1.7838627099990845,-0.7738107442855835,0.03509490564465523,0.986376166343689,1.9110965728759766,-0.41142338514328003,0.0451311394572258,0.1274670958518982,1.9343589544296265,-0.8933337330818176,0.07197535037994385,0.924884021282196,1.9104214906692505,-0.4820738732814789,0.07509845495223999,0.19007183611392975,1.926413893699646,-1.0007656812667847,0.11084961891174316,0.895835280418396,1.8579957485198975,-0.3749595582485199,0.0718219131231308,0.21065261960029602,1.869087815284729,-0.8348418474197388,0.10290911048650742,0.7370189428329468,1.8217979669570923,-0.024345312267541885,0.00016234003123827279,0.350715696811676,1.8384342193603516,0.031282246112823486,0.0001593396154930815,0.7147128582000732,2.61942982673645,-0.016317540779709816,6.0982849390711635e-05,0.36475712060928345,2.6353001594543457,0.057943783700466156,3.963689232477918e-05,0.7101358771324158,3.348999261856079,0.7870898246765137,8.526977580913808e-06,0.36405736207962036,3.3471195697784424,0.6142836809158325,1.6014932953112293e-06,0.7079356908798218,3.4677069187164307,0.8222919702529907,6.284160463110311e-06,0.35740405321121216,3.465320348739624,0.6435267925262451,2.6839209112949902e-06,0.6924884915351868,3.56839919090271,0.12166144698858261,4.627435191650875e-05,0.41745465993881226,3.5533337593078613,-0.14414814114570618,1.446663463866571e-05
left,0.6057329177856445,0.4318748414516449,-0.9942065477371216,0.9999265074729919,0.6206521987915039,0.35067135095596313,-0.9118512272834778,0.9998453259468079,0.637037456035614,0.3522690534591675,-0.9117094278335571,0.9998654723167419,0.6531266570091248,0.35431843996047974,-0.9116588830947876,0.9998480677604675,0.5607683658599854,0.3509402871131897,-0.9381477236747742,0.9998587369918823,0.5347887277603149,0.35313308238983154,-0.9370145797729492,0.9998649954795837,0.5080972909927368,0.35695213079452515,-0.9374016523361206,0.9998469948768616,0.6430084705352783,0.4010034203529358,-0.4567628800868988,0.9998274445533752,0.4385354518890381,0.40820321440696716,-0.5842777490615845,0.9998760223388672,0.6344614028930664,0.515444815158844,-0.8271148800849915,0.9998806715011597,0.5590996146202087,0.5229448676109314,-0.8555739521980286,0.9998952746391296,0.8083924055099487,0.8548785448074341,-0.19582748413085938,0.9985095262527466,0.23574379086494446,0.8699694871902466,-0.46783581376075745,0.9990619421005249,0.9541813135147095,1.348099946975708,-0.046305976808071136,0.049226485192775726,0.14532239735126495,1.3941549062728882,-0.3719061315059662,0.09411494433879852,0.9500342607498169,1.7694920301437378,-0.3340774178504944,0.023024950176477432,0.1314776986837387,1.747620940208435,-0.7859607338905334,0.03863055258989334,0.9904763102531433,1.9035208225250244,-0.4197993874549866,0.04463610798120499,0.12355472147464752,1.91217041015625,-0.909774899482727,0.07569102942943573,0.9345124363899231,1.9044309854507446,-0.4893975257873535,0.07442831993103027,0.17900675535202026,1.9110742807388306,-1.011466145515442,0.1168123260140419,0.9051743745803833,1.8516532182693481,-0.3865077495574951,0.07169991731643677,0.2014094889163971,1.8536213636398315,-0.8472763895988464,0.10881582647562027,0.7368969321250916,1.8094584941864014,-0.03081812523305416,0.00016435512225143611,0.35058847069740295,1.8224713802337646,0.03775440901517868,0.0001623142889002338,0.7147215008735657,2.60334849357605,-0.08187548816204071,6.344102439470589e-05,0.36496081948280334,2.617619037628174,0.06194617599248886,4.0046372305369005e-05,0.7093048095703125,3.3301074504852295,0.6711307764053345,9.228770068148151e-06,0.366431325674057,3.330993890762329,0.6730098724365234,1.6420574411313282e-06,0.7075768709182739,3.4487411975860596,0.7002890110015869,6.961849521758268e-06,0.3609232008457184,3.452425956726074,0.7069756388664246,2.8692388696072157e-06,0.6838406324386597,3.54883074760437,-0.029876017943024635,4.599732710630633e-05,0.4174390733242035,3.533203601837158,-0.08164343982934952,1.5143650671234354e-05
left,0.5935336351394653,0.4346275329589844,-0.9465524554252625,0.9999265670776367,0.609000563621521,0.35425078868865967,-0.8698528409004211,0.9998431205749512,0.6255870461463928,0.3559504449367523,-0.8696697950363159,0.99986332654953,0.6420321464538574,0.35797712206840515,-0.8697158098220825,0.9998448491096497,0.5500073432922363,0.35369378328323364,-0.8923107981681824,0.999858021736145,0.5247130990028381,0.35549309849739075,-0.8912245035171509,0.9998660087585449,0.4987633228302002,0.35891076922416687,-0.8916548490524292,0.9998487830162048,0.6427606344223022,0.40287187695503235,-0.44146841764450073,0.9998202919960022,0.43250584602355957,0.4092031717300415,-0.5386550426483154,0.9998771548271179,0.6213905811309814,0.5179764032363892,-0.7890253067016602,0.9998779892921448,0.5474810600280762,0.5236554741859436,-0.8132025003433228,0.9998947381973267,0.8085651397705078,0.8575645685195923,-0.19793441891670227,0.9984148740768433,0.23898497223854065,0.8700229525566101,-0.40979012846946716,0.9990717768669128,0.9541007280349731,1.3469603061676025,-0.07308556139469147,0.05029424652457237,0.14545103907585144,1.3901448249816895,-0.3045787215232849,0.10014934092760086,0.9493268728256226,1.7668540477752686,-0.33920085430145264,0.022493816912174225,0.13220778107643127,1.7403297424316406,-0.7801787853240967,0.04069260135293007,0.9887641668319702,1.902093768119812,-0.42152953147888184,0.04330512881278992,0.12364959716796875,1.8981763124465942,-0.8594185709953308,0.0772787556052208,0.9332605600357056,1.903166651725769,-0.48113328218460083,0.07226182520389557,0.17883722484111786,1.8980876207351685,-0.9511913061141968,0.11926499009132385,0.9045785665512085,1.8495442867279053,-0.3858448565006256,0.06990145146846771,0.20134420692920685,1.841991901397705,-0.8269995450973511,0.11137280613183975,0.7362097501754761,1.8070833683013916,-0.03915928304195404,0.00016862044867593795,0.3498741686344147,1.8171055316925049,0.04585500806570053,0.0001679020351730287,0.7138799428939819,2.6000852584838867,-0.08025386929512024,6.528733501909301e-05,0.3631584942340851,2.6111814975738525,0.08669926971197128,4.0431776142213494e-05,0.7065586447715759,3.3243696689605713,0.6718451380729675,9.932028660841752e-06,0.36625462770462036,3.3248229026794434,0.6902077198028564,1.7302240848948713e-06,0.7059541940689087,3.4424710273742676,0.7031416893005371,7.632416782143991e-06,0.36074554920196533,3.446613311767578,0.7251490354537964,3.1039733130455716e-06,0.6747652888298035,3.5436437129974365,-0.003243653802201152,4.594185156747699e-05,0.4168742299079895,3.527566432952881,-0.04626283794641495,1.5970243111951277e-05
left,0.5931053757667542,0.43303462862968445,-1.0182384252548218,0.9999236464500427,0.6065682768821716,0.3532854914665222,-0.9364530444145203,0.9998330473899841,0.6228129267692566,0.35513928532600403,-0.9363768696784973,0.9998555183410645,0.6391727924346924,0.35725274682044983,-0.9364809989929199,0.9998330473899841,0.5488974452018738,0.3524536192417145,-0.9612247347831726,0.9998498558998108,0.5237582921981812,0.3543153703212738,-0.9602022171020508,0.9998614192008972,0.4978783130645752,0.35775992274284363,-0.9606749415397644,0.999842643737793,0.6425102949142456,0.4025641083717346,-0.47848471999168396,0.9998054504394531,0.43090635538101196,0.4087299704551697,-0.5640147924423218,0.9998732209205627,0.6193749308586121,0.5174834728240967,-0.8491255044937134,0.9998723864555359,0.5472918748855591,0.522462785243988,-0.8745030164718628,0.9998906850814819,0.8083645701408386,0.8574551343917847,-0.2105499804019928,0.9983271360397339,0.24054260551929474,0.8700081706047058,-0.42597252130508423,0.9990607500076294,0.9538933634757996,1.337638258934021,-0.09307341277599335,0.050966981798410416,0.14506909251213074,1.3871351480484009,-0.3139212429523468,0.1082194447517395,0.9492906332015991,1.7588437795639038,-0.40929627418518066,0.0223404373973608,0.13279399275779724,1.7436230182647705,-0.811810314655304,0.0436202809214592,0.9885565638542175,1.8970009088516235,-0.49949726462364197,0.04255572333931923,0.12611331045627594,1.8998169898986816,-0.9332780838012695,0.0795622244477272,0.9330102205276489,1.9003105163574219,-0.5680708289146423,0.07108607143163681,0.17988532781600952,1.898315191268921,-1.0293309688568115,0.12278533726930618,0.9043189883232117,1.845446228981018,-0.4606841504573822,0.06895621120929718,0.20237061381340027,1.8421627283096313,-0.8684247732162476,0.11472897231578827,0.736247718334198,1.8030734062194824,-0.04398967698216438,0.00017458789807278663,0.350259393453598,1.813920259475708,0.05066198855638504,0.00017452979227527976,0.7149835824966431,2.596808433532715,-0.07354238629341125,6.945768109289929e-05,0.3654995858669281,2.6096572875976562,0.13821667432785034,4.146429637330584e-05,0.7094827890396118,3.31984806060791,0.6782746911048889,1.1540863852133043e-05,0.3732067942619324,3.322991132736206,0.7640710473060608,1.8977084437210578e-06,0.7100652456283569,3.4382715225219727,0.7119885683059692,8.887409421731718e-06,0.3679810166358948,3.445002317428589,0.8019769787788391,3.547718733898364e-06,0.6756082773208618,3.5388896465301514,0.03410624712705612,4.778915172209963e-05,0.4248769283294678,3.5262672901153564,-0.02921612188220024,1.7632213712204248e-05
left,0.592573881149292,0.4334706664085388,-1.0831063985824585,0.9999224543571472,0.605893075466156,0.35356587171554565,-0.9969073534011841,0.9998273253440857,0.6218635439872742,0.35551968216896057,-0.9968889355659485,0.9998534917831421,0.6380012035369873,0.3577314615249634,-0.9969239234924316,0.9998257756233215,0.5483540296554565,0.35253363847732544,-1.02596914768219,0.9998449683189392,0.5231372117996216,0.35442835092544556,-1.0249582529067993,0.9998611211776733,0.49721741676330566,0.3579443395137787,-1.025421380996704,0.9998395442962646,0.6421242952346802,0.40302979946136475,-0.5099848508834839,0.9997991323471069,0.4307923913002014,0.40894266963005066,-0.6119333505630493,0.9998741745948792,0.618030309677124,0.5186344981193542,-0.9022353291511536,0.9998708963394165,0.5455409288406372,0.5233203768730164,-0.933269202709198,0.9998905658721924,0.8081841468811035,0.8573033213615417,-0.2110707014799118,0.9983130693435669,0.24162611365318298,0.8703949451446533,-0.4584764838218689,0.999082624912262,0.9520532488822937,1.3364144563674927,-0.12761949002742767,0.051628854125738144,0.14552511274814606,1.3875232934951782,-0.3646528124809265,0.12401241064071655,0.9486852884292603,1.753246784210205,-0.5786606073379517,0.02235245332121849,0.13350100815296173,1.7470272779464722,-0.8649106025695801,0.046278566122055054,0.9876024127006531,1.891538381576538,-0.6932865977287292,0.04177604615688324,0.12971104681491852,1.901958703994751,-1.0054128170013428,0.08054061979055405,0.9329244494438171,1.8962489366531372,-0.7722927927970886,0.06977521628141403,0.18021735548973083,1.9007374048233032,-1.1078155040740967,0.12460216879844666,0.9041585922241211,1.8400728702545166,-0.639563262462616,0.06795371323823929,0.2031109780073166,1.8429454565048218,-0.9259017705917358,0.11652527749538422,0.7369142770767212,1.8013840913772583,-0.04067770019173622,0.00020376572501845658,0.35223188996315,1.8125144243240356,0.04727747291326523,0.00020558010146487504,0.7173923254013062,2.5934383869171143,-0.05191757529973984,8.477550727548078e-05,0.37161141633987427,2.6069860458374023,0.08605704456567764,4.856527448282577e-05,0.7156962156295776,3.315260410308838,0.7476093173027039,1.48636327139684e-05,0.3815392851829529,3.3201444149017334,0.6810665726661682,2.3133563900046283e-06,0.7172208428382874,3.434858798980713,0.7832640409469604,1.170160248875618e-05,0.3763195872306824,3.4429078102111816,0.712787926197052,4.541020643955562e-06,0.6805849671363831,3.5334830284118652,0.05145689845085144,5.351045183488168e-05,0.4324713349342346,3.5222506523132324,-0.12820029258728027,2.1212654246482998e-05
left,0.59048992395401,0.4319993257522583,-1.0905276536941528,0.9999246597290039,0.6048654317855835,0.3525339961051941,-1.0045746564865112,0.9998301863670349,0.6212824583053589,0.3544082045555115,-1.0045448541641235,0.9998572468757629,0.6377476453781128,0.35654619336128235,-1.0045602321624756,0.9998279809951782,0.5454198122024536,0.35166066884994507,-1.0301640033721924,0.999847412109375,0.5192610025405884,0.353595107793808,-1.0291075706481934,0.9998652935028076,0.4930587708950043,0.3572235405445099,-1.0295321941375732,0.9998429417610168,0.6426337957382202,0.40244296193122864,-0.5216443538665771,0.9998015761375427,0.42875608801841736,0.40916505455970764,-0.6128221750259399,0.9998781085014343,0.6186606287956238,0.5177029967308044,-0.9123757481575012,0.9998738169670105,0.5438424348831177,0.522728443145752,-0.9391570091247559,0.9998931884765625,0.8086875081062317,0.8567268252372742,-0.22924566268920898,0.9983264207839966,0.2419040948152542,0.8709750771522522,-0.4607347548007965,0.9991083741188049,0.949104905128479,1.3368184566497803,-0.15638989210128784,0.052463334053754807,0.14495575428009033,1.386100172996521,-0.36774924397468567,0.13529261946678162,0.9447380900382996,1.7521523237228394,-0.587990403175354,0.022556252777576447,0.13393978774547577,1.749478816986084,-0.8550650477409363,0.0487247109413147,0.9836688041687012,1.8907320499420166,-0.6978896260261536,0.041656602174043655,0.13284260034561157,1.903576374053955,-0.9917922019958496,0.08236822485923767,0.9272255897521973,1.895707368850708,-0.7695398330688477,0.06972193717956543,0.1830858290195465,1.9026687145233154,-1.091444492340088,0.12795047461986542,0.8994841575622559,1.8386952877044678,-0.6437960267066956,0.06802870333194733,0.2048148214817047,1.843681812286377,-0.9154470562934875,0.11976561695337296,0.7384999394416809,1.7988933324813843,-0.041746072471141815,0.00021388396271504462,0.3532477915287018,1.809952974319458,0.04842750355601311,0.0002163332246709615,0.7188618183135986,2.592137098312378,-0.029376786202192307,9.041654993779957e-05,0.37287381291389465,2.6057393550872803,0.15048782527446747,4.994709524908103e-05,0.7167326211929321,3.311335563659668,0.8012975454330444,1.6380943634430878e-05,0.3844928741455078,3.316878318786621,0.7952937483787537,2.4051828404481057e-06,0.718539834022522,3.431673765182495,0.8401509523391724,1.3023744941165205e-05,0.38031846284866333,3.4394688606262207,0.8331807851791382,4.9339696488459595e-06,0.6808387637138367,3.5290496349334717,0.08230482041835785,5.5190026614582166e-05,0.43502965569496155,3.5206754207611084,-0.013833701610565186,2.23445167648606e-05
left,0.5891667008399963,0.43232154846191406,-1.0883651971817017,0.9999257922172546,0.6037474870681763,0.35205575823783875,-1.0034407377243042,0.9998297095298767,0.6203086972236633,0.3538733422756195,-1.0034034252166748,0.999858021736145,0.6369551420211792,0.3559291660785675,-1.0034079551696777,0.9998261332511902,0.5435765981674194,0.3513946235179901,-1.0275824069976807,0.9998476505279541,0.5172014832496643,0.3534815013408661,-1.0265454053878784,0.9998676776885986,0.4912385940551758,0.3572494685649872,-1.026974081993103,0.9998443126678467,0.6423640251159668,0.4020616114139557,-0.5251992344856262,0.999799907207489,0.42769795656204224,0.4094947874546051,-0.610021710395813,0.9998807907104492,0.6181300282478333,0.5185140371322632,-0.9118356704711914,0.9998748302459717,0.5419924259185791,0.5241507291793823,-0.936425507068634,0.9998946785926819,0.8087703585624695,0.8569558262825012,-0.22969968616962433,0.9982956051826477,0.2424086332321167,0.8710228800773621,-0.46108278632164,0.9991278052330017,0.9494497179985046,1.337220549583435,-0.1367718130350113,0.052721161395311356,0.14525316655635834,1.3855067491531372,-0.36940908432006836,0.14362852275371552,0.9444824457168579,1.7524858713150024,-0.5213099718093872,0.022502867504954338,0.13413813710212708,1.7509211301803589,-0.8606393933296204,0.0513901561498642,0.9825364947319031,1.8909354209899902,-0.6241961717605591,0.04116673395037651,0.13313372433185577,1.9047434329986572,-1.000144600868225,0.08453301340341568,0.9262474179267883,1.8957743644714355,-0.697439968585968,0.06897462904453278,0.18365378677845,1.9038902521133423,-1.1008665561676025,0.13140767812728882,0.8990875482559204,1.8385562896728516,-0.5764905214309692,0.06748659908771515,0.20525534451007843,1.8442531824111938,-0.9219392538070679,0.1231926903128624,0.738960325717926,1.7981128692626953,-0.04190481826663017,0.0002231792896054685,0.3536909222602844,1.8095488548278809,0.048598822206258774,0.00022784023894928396,0.720209538936615,2.591366767883301,-0.014689621515572071,9.570977999828756e-05,0.37576377391815186,2.6056082248687744,0.17775385081768036,5.194438199396245e-05,0.7179952263832092,3.309358835220337,0.8344446420669556,1.812290611269418e-05,0.3872377276420593,3.31654953956604,0.8673596382141113,2.565936711107497e-06,0.719602644443512,3.429407835006714,0.8745282292366028,1.4357474356074817e-05,0.3833567500114441,3.439255475997925,0.9108800888061523,5.396798314905027e-06,0.6816182136535645,3.528217077255249,0.11575551331043243,5.748367766500451e-05,0.436622679233551,3.5207443237304688,0.0755571499466896,2.399330878688488e-05
left,0.5918533205986023,0.43233269453048706,-1.1449555158615112,0.9999228119850159,0.6048477292060852,0.3515544533729553,-1.0590643882751465,0.9998211860656738,0.6207749247550964,0.35330677032470703,-1.0591063499450684,0.9998525381088257,0.6375859975814819,0.3553144633769989,-1.0592176914215088,0.9998162388801575,0.5456613302230835,0.351185142993927,-1.0857244729995728,0.9998394250869751,0.5195289254188538,0.35347220301628113,-1.084722638130188,0.99986332654953,0.4935385286808014,0.35745808482170105,-1.0851848125457764,0.9998374581336975,0.6441421508789062,0.4017519950866699,-0.5572529435157776,0.9997893571853638,0.428488165140152,0.4099535644054413,-0.650933027267456,0.9998774528503418,0.6190574765205383,0.5186216235160828,-0.9577987790107727,0.9998721480369568,0.5448923110961914,0.5244811773300171,-0.9857324361801147,0.9998931884765625,0.808803379535675,0.8561752438545227,-0.2557620406150818,0.9982849359512329,0.24342820048332214,0.8712875247001648,-0.47798436880111694,0.999118983745575,0.9501103162765503,1.3351378440856934,-0.19757957756519318,0.055463649332523346,0.14523622393608093,1.3857343196868896,-0.3877565264701843,0.1547662615776062,0.9447346925735474,1.7507269382476807,-0.6651960611343384,0.02316938154399395,0.13441208004951477,1.7519429922103882,-0.8973739743232727,0.05335167422890663,0.9829995036125183,1.8905631303787231,-0.7908068895339966,0.041373491287231445,0.13426966965198517,1.9055994749069214,-1.043626070022583,0.08522707223892212,0.926214873790741,1.8954520225524902,-0.8681827783584595,0.06926395744085312,0.1840839385986328,1.9041098356246948,-1.1527503728866577,0.13286817073822021,0.899056613445282,1.8377856016159058,-0.7241458296775818,0.0678778812289238,0.20543310046195984,1.8443406820297241,-0.9616926908493042,0.12467194348573685,0.7400728464126587,1.7986233234405518,-0.041872408241033554,0.0002491152554284781,0.3549870550632477,1.80979323387146,0.048548195511102676,0.00025223768898285925,0.7206493616104126,2.592668056488037,0.03738724812865257,0.00011592479859245941,0.3757131099700928,2.6059958934783936,0.1687079221010208,5.9544989198911935e-05,0.7179917097091675,3.309685707092285,0.9067981839179993,2.274214057251811e-05,0.386588990688324,3.3166887760162354,0.8474565744400024,3.065143800995429e-06,0.7195428609848022,3.429880380630493,0.9489952921867371,1.7971817214856856e-05,0.3824644982814789,3.4394562244415283,0.8917956352233887,6.702282007609028e-06,0.681686520576477,3.5284297466278076,0.19378186762332916,6.430636858567595e-05,0.4362872540950775,3.5215020179748535,0.04337025061249733,2.780279828584753e-05
